DATE,TOTALDEMAND,PRICECATEGORY
1/01/2021,5019.64,LOW
1/02/2021,5228.29,MEDIUM
1/03/2021,5225.37,LOW
1/04/2021,5807.02,MEDIUM
1/05/2021,5261.09,MEDIUM
1/06/2021,6945.56,EXTREME
1/07/2021,6752.13,HIGH
1/08/2021,6526.06,EXTREME
1/09/2021,4811.27,MEDIUM
10/01/2021,6859.02,MEDIUM
10/02/2021,7009.15,MEDIUM
10/03/2021,5538.74,MEDIUM
10/04/2021,5366.73,MEDIUM
10/05/2021,6352.55,EXTREME
10/06/2021,6516.17,EXTREME
10/07/2021,6825.14,EXTREME
10/08/2021,6234.67,HIGH
11/01/2021,8182.55,MEDIUM
11/02/2021,7153.92,MEDIUM
11/03/2021,5626.12,MEDIUM
11/04/2021,5829.16,MEDIUM
11/05/2021,6578.07,EXTREME
11/06/2021,6784.83,EXTREME
11/07/2021,6511.44,HIGH
11/08/2021,6687.69,MEDIUM
12/01/2021,5349.3,MEDIUM
12/02/2021,5460.87,LOW
12/03/2021,6115.65,HIGH
12/04/2021,6415.58,HIGH
12/05/2021,6406.0,EXTREME
12/06/2021,6062.58,EXTREME
12/07/2021,7095.0,HIGH
12/08/2021,6537.7,HIGH
13/01/2021,6522.49,HIGH
13/02/2021,4729.81,LOW
13/03/2021,4898.9,LOW
13/04/2021,5990.97,LOW
13/05/2021,6679.05,HIGH
13/06/2021,6112.1,HIGH
13/07/2021,7174.57,EXTREME
13/08/2021,6300.74,MEDIUM
14/01/2021,5257.95,MEDIUM
14/02/2021,4710.32,LOW
14/03/2021,4920.14,LOW
14/04/2021,5731.88,HIGH
14/05/2021,6493.23,MEDIUM
14/06/2021,6366.51,HIGH
14/07/2021,7175.95,EXTREME
14/08/2021,6049.06,HIGH
15/01/2021,4742.85,MEDIUM
15/02/2021,5719.51,LOW
15/03/2021,5619.41,LOW
15/04/2021,5936.95,MEDIUM
15/05/2021,6319.27,HIGH
15/06/2021,6927.87,EXTREME
15/07/2021,6715.55,HIGH
