settlementdate,totaldemand,pricecategory
01-01,4179.21,LOW
01-02,4402.64,LOW
01-03,4364.65,LOW
01-04,4149.56,LOW
01-05,4289.8,LOW
01-06,4337.46,LOW
01-07,4301.01,LOW
01-08,5352.25,MEDIUM
01-09,5452.03,MEDIUM
01-10,4512.79,MEDIUM
01-11,7247.26,MEDIUM
01-12,5345.58,MEDIUM
01-13,6507.19,HIGH
01-14,5257.95,MEDIUM
01-15,4649.81,MEDIUM
01-16,4409.34,LOW
01-17,4424.92,MEDIUM
01-18,4221.73,LOW
01-19,4439.89,LOW
01-20,5257.11,MEDIUM
01-21,7010.52,MEDIUM
01-22,5925.51,MEDIUM
01-23,5740.58,MEDIUM
01-24,7162.96,HIGH
01-25,8196.83,HIGH
01-26,4579.94,MEDIUM
01-27,4327.95,LOW
01-28,4550.61,LOW
01-29,5358.54,MEDIUM
01-30,4627.57,LOW
01-31,4449.74,LOW
02-01,5079.65,MEDIUM
02-02,4470.53,LOW
02-03,4448.17,LOW
02-04,4551.49,LOW
02-05,4726.67,LOW
02-06,4636.36,LOW
02-07,4263.31,LOW
02-08,4256.31,LOW
02-09,5511.16,MEDIUM
02-10,7001.97,MEDIUM
02-11,6893.94,MEDIUM
02-12,5063.88,LOW
02-13,4577.07,LOW
02-14,4374.93,LOW
02-15,4314.45,LOW
02-16,6440.78,MEDIUM
02-17,7153.66,MEDIUM
02-18,7367.84,MEDIUM
02-19,7804.22,HIGH
02-20,5414.24,LOW
02-21,4737.97,LOW
02-22,4375.21,LOW
02-23,4412.31,LOW
02-24,4600.22,LOW
02-25,4635.03,LOW
02-26,5258.6,MEDIUM
02-27,4782.45,MEDIUM
02-28,4561.41,LOW
03-01,4416.76,LOW
03-02,4521.92,LOW
03-03,5526.41,MEDIUM
03-04,4613.49,LOW
03-05,4559.75,LOW
03-06,4494.99,LOW
03-07,4998.96,MEDIUM
03-08,5045.49,MEDIUM
03-09,5527.62,MEDIUM
03-10,5412.43,MEDIUM
03-11,5037.35,MEDIUM
03-12,6111.32,HIGH
03-13,4771.51,LOW
03-14,4296.47,LOW
03-15,4431.81,LOW
03-16,5357.78,MEDIUM
03-17,5445.03,MEDIUM
03-18,5318.06,MEDIUM
03-19,5274.25,MEDIUM
03-20,4494.52,LOW
03-21,4930.97,MEDIUM
03-22,5177.87,HIGH
03-23,5618.16,EXTREME
03-24,4730.81,MEDIUM
03-25,5328.53,HIGH
03-26,4556.51,MEDIUM
03-27,4014.78,MEDIUM
03-28,4421.34,MEDIUM
03-29,5262.11,MEDIUM
03-30,5590.37,HIGH
03-31,5518.3,MEDIUM
04-01,5367.77,MEDIUM
04-02,5341.05,MEDIUM
04-03,5723.27,MEDIUM
04-04,4973.58,MEDIUM
04-05,4492,MEDIUM
04-06,4510.38,MEDIUM
04-07,5796.89,HIGH
04-08,4732.35,MEDIUM
04-09,5236.79,MEDIUM
04-10,4794.49,MEDIUM
04-11,5575.8,MEDIUM
04-12,6145.95,HIGH
04-13,5089.07,LOW
04-14,5671.08,HIGH
04-15,4800.38,MEDIUM
04-16,5072.33,MEDIUM
04-17,4391.84,HIGH
04-18,5411.07,EXTREME
04-19,4551.46,HIGH
04-20,6537.36,HIGH
04-21,4695.81,EXTREME
04-22,5266.96,HIGH
04-23,5149.19,EXTREME
04-24,5005.23,HIGH
04-25,5153.93,HIGH
04-26,5549.99,EXTREME
04-27,5372.82,EXTREME
04-28,6461.27,EXTREME
04-29,6405.5,EXTREME
04-30,5152.58,MEDIUM
05-01,4791.83,MEDIUM
05-02,4735.09,MEDIUM
05-03,4513.64,MEDIUM
05-04,6609.46,HIGH
05-05,5496.35,MEDIUM
05-06,6294.24,EXTREME
05-07,5882.17,EXTREME
05-08,5481.16,HIGH
05-09,4729.92,MEDIUM
05-10,6352.55,EXTREME
05-11,6530.8,EXTREME
05-12,6294.12,EXTREME
05-13,6205.88,HIGH
05-14,5291.8,MEDIUM
05-15,5456.44,HIGH
05-16,5107.54,MEDIUM
05-17,6114.78,EXTREME
05-18,5787.53,EXTREME
05-19,5766.51,EXTREME
05-20,5699.04,HIGH
05-21,5872.72,EXTREME
05-22,6014.84,EXTREME
05-23,5880.83,EXTREME
05-24,5813.27,MEDIUM
05-25,5955.15,HIGH
05-26,6467.06,EXTREME
05-27,5801.02,HIGH
05-28,6266.24,EXTREME
05-29,6278.34,EXTREME
05-30,6732.46,EXTREME
05-31,5738.56,HIGH
06-01,6082.63,EXTREME
06-02,5931.42,EXTREME
06-03,5881.4,EXTREME
06-04,6934.53,EXTREME
06-05,6265.99,HIGH
06-06,5876.7,EXTREME
06-07,6614.71,HIGH
06-08,6917.31,EXTREME
06-09,5335.46,MEDIUM
06-10,6516.17,EXTREME
06-11,6449.3,EXTREME
06-12,6046.17,EXTREME
06-13,5447.06,HIGH
06-14,4982.37,HIGH
06-15,6308.73,EXTREME
06-16,5748.03,HIGH
06-17,6230.32,EXTREME
06-18,5694.06,HIGH
06-19,6263.41,EXTREME
06-20,6628.57,EXTREME
06-21,5546.72,EXTREME
06-22,6824.01,EXTREME
06-23,5834.87,HIGH
06-24,5395.6,EXTREME
06-25,5121.83,HIGH
06-26,6079.76,HIGH
06-27,5003.31,HIGH
06-28,7109.12,EXTREME
06-29,5771.67,HIGH
06-30,6292.63,HIGH
07-01,6458.37,HIGH
07-02,6820.04,EXTREME
07-03,5517.16,MEDIUM
07-04,6849.08,HIGH
07-05,7546.26,EXTREME
07-06,5426.97,EXTREME
07-07,6232.91,EXTREME
07-08,5708.84,EXTREME
07-09,5913.77,EXTREME
07-10,5933.21,EXTREME
07-11,5563.61,HIGH
07-12,6654.8,HIGH
07-13,7174.57,EXTREME
07-14,6568.19,EXTREME
07-15,6711.69,HIGH
07-16,6143.63,HIGH
07-17,5611.97,MEDIUM
07-18,6646.94,EXTREME
07-19,7130.82,EXTREME
07-20,6810.08,HIGH
07-21,6894,EXTREME
07-22,6295.86,EXTREME
07-23,6773.45,EXTREME
07-24,6492.94,HIGH
07-25,6817.65,HIGH
07-26,6357.43,HIGH
07-27,6066.05,HIGH
07-28,6933.04,HIGH
07-29,6990.16,EXTREME
07-30,6624.87,HIGH
07-31,5924.13,HIGH
08-01,6219.47,EXTREME
08-02,5147.52,MEDIUM
08-03,5160.12,MEDIUM
08-04,6597.85,HIGH
08-05,5055.47,MEDIUM
08-06,6650.37,HIGH
08-07,6419.69,EXTREME
08-08,6477.76,EXTREME
08-09,6519.36,HIGH
08-10,6234.67,HIGH
08-11,5308.52,MEDIUM
08-12,6532.32,HIGH
08-13,5082.27,MEDIUM
08-14,5270.83,HIGH
08-15,5368.01,MEDIUM
08-16,4597.06,MEDIUM
08-17,6849.04,EXTREME
08-18,6788.59,EXTREME
08-19,5621.83,HIGH
08-20,5557.47,MEDIUM
08-21,5112.61,MEDIUM
08-22,4720.37,MEDIUM
08-23,6136.88,HIGH
08-24,6002.8,HIGH
08-25,6698.77,EXTREME
08-26,6753.56,EXTREME
08-27,6733.22,EXTREME
08-28,5246.27,MEDIUM
08-29,6152.32,EXTREME
08-30,5725.18,HIGH
08-31,5236.92,MEDIUM
09-01,4811.27,MEDIUM
