DATE,TOTALDEMAND,PRICECATEGORY,min_temp,max_temp,rain,evap,sun,dir_max_wind,speed_max_wind,time_max_wind,9am_temp,9am_humid,9am_cloud,9am_wind_dir,9am_wind_speed,9am_press,3pm_temp,3pm_humid,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_press
1/01/2021,5019.64,LOW,15.6,29.9,0,2.8,9.3,22.5,31,13:14,19.2,77,6,0,2,1018.8,28.1,43,5,90,13,1015.3
1/02/2021,5228.29,MEDIUM,13.4,20.3,0,7.4,1.6,180,33,21:08,16.9,76,7,0,7,1012.8,19.4,69,7,180,13,1011.9
1/03/2021,5225.37,LOW,13.8,21.7,0,6.4,6.3,180,44,18:35,16.6,72,6,247.5,6,1012.3,19.7,67,6,180,15,1012.2
1/04/2021,5807.02,MEDIUM,12.4,29.9,0,4.4,10.8,337.5,20,11:49,14.4,86,1,45,9,1024.3,28.7,30,3,135,7,1021.6
1/05/2021,5261.09,MEDIUM,11.2,24.6,0,5.4,7.1,0,33,12:48,14.9,63,3,22.5,9,1027.3,24.2,35,7,0,17,1024.4
1/06/2021,6945.56,EXTREME,5.7,15.7,0,4,1.3,0,39,11:32,9.2,60,8,22.5,13,1020.8,15.3,48,7,0,17,1019.4
1/07/2021,6752.13,HIGH,10.5,17.2,0,1.4,8.9,337.5,35,12:17,12.3,86,1,0,11,1022.3,16.6,58,1,0,20,1019.1
1/08/2021,6526.06,EXTREME,8,15.7,18,6.8,9,337.5,30,12:08,11.1,72,1,315,9,1010.6,14.6,42,3,270,9,1011.5
10/01/2021,6859.02,MEDIUM,16.9,33.5,0,8,9.6,90,24,19:16,19.3,85,8,22.5,6,1020.4,26.7,60,1,225,11,1015.9
10/02/2021,7009.15,MEDIUM,13.8,31.5,0,7.4,11.6,337.5,30,11:22,17.2,77,1,22.5,7,1015.1,28.3,43,2,202.5,15,1010.5
10/03/2021,5538.74,MEDIUM,12.2,20.1,0.2,6.8,7.2,202.5,30,14:35,15.5,81,7,-1,0,1021.7,19.7,58,1,225,11,1019.5
10/04/2021,5366.73,MEDIUM,12.9,18.3,0.2,2.8,3.9,247.5,54,14:43,14.1,71,6,292.5,11,1007.9,15.4,53,7,225,17,1008
10/05/2021,6352.55,EXTREME,11.7,16.9,0.2,3.8,0.5,0,41,13:18,14.3,68,7,0,19,1010.2,16.2,56,7,337.5,13,1007.6
10/06/2021,6516.17,EXTREME,9.7,15.1,12,3.6,0.3,180,67,0:33,14.5,78,8,157.5,30,1009.5,14.3,71,7,112.5,11,1009.8
10/07/2021,6825.14,EXTREME,3.2,14.2,0,0.8,6.6,45,15,10:33,5,100,7,22.5,6,1024.4,12.1,80,1,202.5,9,1024.4
10/08/2021,6234.67,HIGH,9.1,17.7,0,2.4,8.1,0,52,11:11,12.4,77,6,0,19,1022.4,17.5,45,6,0,24,1017.9
11/01/2021,8182.55,MEDIUM,19.2,36.7,0,10.8,9.8,0,52,14:55,29.4,32,2,22.5,15,1012.3,35.2,21,7,0,20,1008.5
11/02/2021,7153.92,MEDIUM,17.2,32.8,0,8,5.5,0,46,12:20,24.3,58,6,22.5,9,1008.7,31.8,31,7,0,22,1004.5
11/03/2021,5626.12,MEDIUM,11.6,24.7,0,5,4.6,202.5,24,15:56,15,86,7,0,9,1018.6,21,69,7,225,9,1016.2
11/04/2021,5829.16,MEDIUM,8.1,14.5,3.4,5.2,6.1,180,56,12:02,9.8,75,4,292.5,11,1014.8,14.1,56,5,202.5,19,1016.9
11/05/2021,6578.07,EXTREME,10.7,16.3,15.8,2.8,0.1,180,41,4:50,12.2,100,8,202.5,9,1018.7,15.7,71,7,135,17,1021.3
11/06/2021,6784.83,EXTREME,6.8,15,0.4,0.4,1.3,292.5,22,23:37,7.9,100,7,0,6,1016,14.6,80,7,202.5,7,1013.7
11/07/2021,6511.44,HIGH,5,16.1,0,0.8,5.7,0,43,13:34,6.5,100,3,22.5,13,1025.9,14.4,52,7,0,20,1022.2
11/08/2021,6687.69,MEDIUM,12.4,19.2,0,7,3.6,337.5,54,13:44,14.4,47,5,0,28,1012.2,16.7,44,8,292.5,17,1009.8
